Vteam,Hteam
Brooklyn Nets,New Orleans Pelicans
Cleveland Cavaliers,Denver Nuggets
Los Angeles Clippers,Minnesota Timberwolves
Miami Heat,Phoenix Suns
Atlanta Hawks,Los Angeles Lakers
Boston Celtics,San Antonio Spurs
Utah Jazz,Chicago Bulls
New Orleans Pelicans,Dallas Mavericks
Orlando Magic,Golden State Warriors
Los Angeles Lakers,Sacramento Kings
Philadelphia 76ers,Detroit Pistons
Portland Trail Blazers,Toronto Raptors
Charlotte Hornets,Indiana Pacers
Utah Jazz,Memphis Grizzlies
Brooklyn Nets,Miami Heat
Minnesota Timberwolves,Houston Rockets
Dallas Mavericks,Oklahoma City Thunder
Cleveland Cavaliers,Phoenix Suns
Atlanta Hawks,Los Angeles Clippers
New Orleans Pelicans,Washington Wizards
Chicago Bulls,Boston Celtics
Milwaukee Bucks,New York Knicks
San Antonio Spurs,Memphis Grizzlies
Los Angeles Lakers,Denver Nuggets
Orlando Magic,Sacramento Kings
Oklahoma City Thunder,Miami Heat
Detroit Pistons,Philadelphia 76ers
Charlotte Hornets,Toronto Raptors
Cleveland Cavaliers,Utah Jazz
Phoenix Suns,Golden State Warriors
Orlando Magic,Portland Trail Blazers
Dallas Mavericks,Los Angeles Clippers
Minnesota Timberwolves,Detroit Pistons
Chicago Bulls,Washington Wizards
Milwaukee Bucks,Atlanta Hawks
New Orleans Pelicans,Boston Celtics
Indiana Pacers,New York Knicks
San Antonio Spurs,Memphis Grizzlies
Phoenix Suns,Denver Nuggets
Houston Rockets,Sacramento Kings
Oklahoma City Thunder,Philadelphia 76ers
Boston Celtics,Brooklyn Nets
Milwaukee Bucks,Miami Heat
Charlotte Hornets,Toronto Raptors
Dallas Mavericks,Los Angeles Lakers
Cleveland Cavaliers,Portland Trail Blazers
New Orleans Pelicans,Detroit Pistons
Atlanta Hawks,Indiana Pacers
New York Knicks,Washington Wizards
Golden State Warriors,San Antonio Spurs
Oklahoma City Thunder,Chicago Bulls
Phoenix Suns,Minnesota Timberwolves
Orlando Magic,Utah Jazz
Denver Nuggets,Los Angeles Clippers
Houston Rockets,Sacramento Kings
Milwaukee Bucks,Miami Heat
Boston Celtics,Charlotte Hornets
Memphis Grizzlies,Indiana Pacers
Atlanta Hawks,Toronto Raptors
Cleveland Cavaliers,Minnesota Timberwolves
Philadelphia 76ers,Utah Jazz
Dallas Mavericks,Portland Trail Blazers
New York Knicks,Detroit Pistons
Houston Rockets,Los Angeles Clippers
Golden State Warriors,Chicago Bulls
Oklahoma City Thunder,Brooklyn Nets
Sacramento Kings,San Antonio Spurs
Orlando Magic,Denver Nuggets
Dallas Mavericks,Portland Trail Blazers
Philadelphia 76ers,Los Angeles Lakers
Boston Celtics,Charlotte Hornets
Indiana Pacers,Milwaukee Bucks
New Orleans Pelicans,Cleveland Cavaliers
Toronto Raptors,New York Knicks
Golden State Warriors,Washington Wizards
Miami Heat,Atlanta Hawks
Utah Jazz,Minnesota Timberwolves
Phoenix Suns,Memphis Grizzlies
Houston Rockets,Los Angeles Lakers
Toronto Raptors,Milwaukee Bucks
Brooklyn Nets,San Antonio Spurs
Portland Trail Blazers,Denver Nuggets
Philadelphia 76ers,Los Angeles Clippers
Atlanta Hawks,Dallas Mavericks
Washington Wizards,New York Knicks
Charlotte Hornets,Houston Rockets
Cleveland Cavaliers,Memphis Grizzlies
Miami Heat,New Orleans Pelicans
Indiana Pacers,Oklahoma City Thunder
Los Angeles Clippers,Utah Jazz
Minnesota Timberwolves,Denver Nuggets
Sacramento Kings,Los Angeles Lakers
Chicago Bulls,Detroit Pistons
Golden State Warriors,Boston Celtics
Toronto Raptors,Minnesota Timberwolves
Brooklyn Nets,Phoenix Suns
Philadelphia 76ers,Portland Trail Blazers
New Orleans Pelicans,Orlando Magic
New York Knicks,Atlanta Hawks
Golden State Warriors,Cleveland Cavaliers
Miami Heat,Dallas Mavericks
Los Angeles Clippers,San Antonio Spurs
Indiana Pacers,Denver Nuggets
Brooklyn Nets,Utah Jazz
Memphis Grizzlies,Los Angeles Lakers
Oklahoma City Thunder,Sacramento Kings
Boston Celtics,Toronto Raptors
Orlando Magic,Washington Wizards
Charlotte Hornets,Atlanta Hawks
Milwaukee Bucks,Cleveland Cavaliers
Houston Rockets,Minnesota Timberwolves
Indiana Pacers,Phoenix Suns
Philadelphia 76ers,Sacramento Kings
New Orleans Pelicans,Miami Heat
New York Knicks,Toronto Raptors
Los Angeles Clippers,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets
Memphis Grizzlies,Phoenix Suns
Brooklyn Nets,Golden State Warriors
Los Angeles Lakers,Portland Trail Blazers
Milwaukee Bucks,Detroit Pistons
Boston Celtics,Orlando Magic
Atlanta Hawks,Chicago Bulls
Minnesota Timberwolves,Houston Rockets
Charlotte Hornets,Utah Jazz
San Antonio Spurs,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Chicago Bulls,Indiana Pacers
Boston Celtics,Miami Heat
Cleveland Cavaliers,New York Knicks
Denver Nuggets,New Orleans Pelicans
Washington Wizards,Dallas Mavericks
Charlotte Hornets,Phoenix Suns
Los Angeles Clippers,Los Angeles Lakers
Indiana Pacers,Orlando Magic
Brooklyn Nets,Philadelphia 76ers
Washington Wizards,Houston Rockets
Denver Nuggets,Milwaukee Bucks
